,Date,mean_hel,mean_rov,mean_tam,Consumption,mean_temp,workday,month,day,year,trend,l1,l2,log_consumption,l1_log,l2_log
0,2023-08-01,17.22222222222222,19.144444444444442,16.98888888888889,176558.6666666667,17.785185185185185,True,8,1,2023,0,0.0,0.0,12.081408489172757,0.0,0.0
1,2023-08-02,17.895833333333332,19.333333333333332,17.599999999999998,180882.5,18.27638888888889,True,8,2,2023,1,176558.6666666667,0.0,12.105602928174338,12.081408489172757,0.0
2,2023-08-03,17.31304347826087,20.195652173913043,17.747826086956522,178327.82608695654,18.418840579710146,True,8,3,2023,2,180882.5,176558.6666666667,12.0913788549778,12.105602928174338,12.081408489172757
3,2023-08-04,17.45416666666667,18.708333333333332,17.566666666666666,183002.75,17.909722222222225,True,8,4,2023,3,178327.82608695654,180882.5,12.117256459033053,12.0913788549778,12.105602928174338
4,2023-08-05,18.825,17.408333333333335,17.916666666666668,170706.0,18.05,False,8,5,2023,4,183002.75,178327.82608695654,12.047698057549693,12.117256459033053,12.0913788549778
5,2023-08-06,18.654166666666665,17.804166666666667,17.383333333333333,167046.75,17.94722222222222,False,8,6,2023,5,170706.0,183002.75,12.026028992342729,12.047698057549693,12.117256459033053
6,2023-08-07,23.270833333333332,18.808333333333334,23.287499999999998,191950.75,21.788888888888888,True,8,0,2023,6,167046.75,170706.0,12.164994107688829,12.026028992342729,12.047698057549693
7,2023-08-08,20.529166666666665,23.120833333333334,21.087500000000002,182470.5,21.579166666666666,True,8,1,2023,7,191950.75,167046.75,12.114343795103293,12.164994107688829,12.026028992342729
8,2023-08-09,17.625,19.983333333333334,16.650000000000002,185831.5,18.086111111111112,True,8,2,2023,8,182470.5,191950.75,12.132595628128785,12.114343795103293,12.164994107688829
9,2023-08-10,16.504166666666666,17.3875,16.325,188047.0,16.73888888888889,True,8,3,2023,9,185831.5,182470.5,12.144447210567293,12.132595628128785,12.114343795103293
10,2023-08-11,17.145833333333332,17.712500000000002,16.104166666666668,193241.0,16.9875,True,8,4,2023,10,188047.0,185831.5,12.17169339356698,12.144447210567293,12.132595628128785
11,2023-08-12,16.408333333333335,16.879166666666666,16.0,196080.0,16.429166666666667,False,8,5,2023,11,193241.0,188047.0,12.186278018201994,12.17169339356698,12.144447210567293
12,2023-08-13,17.570833333333333,15.420833333333334,17.1375,196080.0,16.709722222222222,False,8,6,2023,12,196080.0,193241.0,12.186278018201994,12.186278018201994,12.17169339356698
13,2023-08-14,19.3,17.120833333333334,18.583333333333332,193494.0,18.334722222222222,True,8,0,2023,13,196080.0,196080.0,12.173001783219286,12.186278018201994,12.186278018201994
14,2023-08-15,19.629166666666666,18.020833333333332,19.383333333333333,187064.0,19.01111111111111,True,8,1,2023,14,193494.0,196080.0,12.13920608327323,12.173001783219286,12.186278018201994
15,2023-08-16,20.466666666666665,15.7125,20.395833333333332,192556.0,18.858333333333334,True,8,2,2023,15,187064.0,193494.0,12.16814229949504,12.13920608327323,12.173001783219286
16,2023-08-17,19.529166666666665,14.866666666666667,17.925,191893.0,17.440277777777776,True,8,3,2023,16,192556.0,187064.0,12.164693203998533,12.16814229949504,12.13920608327323
17,2023-08-18,17.754166666666666,12.1625,16.366666666666667,177822.0,15.427777777777777,True,8,4,2023,17,191893.0,192556.0,12.088538328940638,12.164693203998533,12.16814229949504
18,2023-08-19,15.504166666666668,13.316666666666665,16.095833333333335,178874.5,14.972222222222223,False,8,5,2023,18,177822.0,191893.0,12.094439721606767,12.088538328940638,12.164693203998533
19,2023-08-20,16.5,13.2125,15.866666666666667,192000.0,15.193055555555555,False,8,6,2023,19,178874.5,177822.0,12.165250651009918,12.094439721606767,12.088538328940638
20,2023-08-21,16.254166666666666,15.595833333333333,15.362499999999999,187762.0,15.737499999999999,True,8,0,2023,20,192000.0,178874.5,12.142930482364212,12.165250651009918,12.094439721606767
21,2023-08-22,17.208333333333332,15.65,15.908333333333333,183465.5,16.255555555555556,True,8,1,2023,21,187762.0,192000.0,12.119781917901316,12.142930482364212,12.165250651009918
22,2023-08-23,16.995652173913044,14.26086956521739,16.13478260869565,185875.82608695654,15.797101449275361,True,8,2,2023,22,183465.5,187762.0,12.132834128067074,12.119781917901316,12.142930482364212
23,2023-08-24,17.016666666666666,14.512500000000001,15.75,188107.0,15.759722222222223,True,8,3,2023,23,185875.82608695654,183465.5,12.14476622884443,12.132834128067074,12.119781917901316
